technique,context_length,model,cache_size,rerank,cite,rag_nq,rag_hotpotqa,niah,recall_jsonkv,summ_multilex,icl_clinic,icl_banking
streamingllm,16k,DeepSeek-R1-Distill-Qwen-7B,n_local_4092_n_init_4,20.554170368,20.525493248,20.839312384,20.568666112,20.014784,20.336562688,,,
streamingllm,16k,DeepSeek-R1-Distill-Qwen-7B,n_local_2044_n_init_4,19.730330624,19.694099456,20.015623168,19.744976896,19.194139136,19.544212992,19.263037952,19.435507712,19.380105216
streamingllm,16k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,20.49763584,20.47470592,20.568198144,20.504237568,20.01312,20.334918144,20.08626432,20.242657792,20.195439616
streamingllm,16k,Qwen2.5-7B-Instruct,n_local_3968_n_init_128,20.49763584,20.480877568,20.568198144,20.504237568,,20.334918144,,,
streamingllm,16k,Qwen2.5-7B-Instruct,n_local_2044_n_init_4,19.730220544,19.701126656,20.0155648,19.744805888,19.194138112,19.551053312,19.265709568,19.435679744,19.379848192
streamingllm,16k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,22.417549312,22.508001792,22.493354496,22.522464256,22.074943488,21.358278656,22.035177984,22.021002752,22.116402176
streamingllm,16k,Llama-3.1-8B-Instruct,n_local_3968_n_init_128,22.417549312,22.508001792,22.493354496,22.522464256,,21.358278656,,,
streamingllm,16k,Llama-3.1-8B-Instruct,n_local_2044_n_init_4,21.342473216,21.433670144,21.419300352,21.448722432,21.001201664,20.284536832,20.962636288,20.947260928,21.04246784
streamingllm,16k,Qwen3-8B-nothinking,n_local_4092_n_init_4,,,,,,,22.830868992,,
streamingllm,16k,Qwen3-8B-nothinking,n_local_2044_n_init_4,,,,,,,21.621887488,,
streamingllm,16k,Yarn-Qwen3-8B-nothinking,n_local_4092_n_init_4,,,,,,,22.830868992,,
streamingllm,16k,Yarn-Qwen3-8B-nothinking,n_local_2044_n_init_4,,,,,,,21.621887488,,
streamingllm,16k,DeepSeek-R1-Distill-Llama-8B,n_local_4092_n_init_4,22.419646464,22.499794432,22.495451648,22.524561408,22.07704064,21.360375808,,22.023099904,22.118499328
streamingllm,16k,DeepSeek-R1-Distill-Llama-8B,n_local_2044_n_init_4,21.342473216,21.42225152,21.419300352,21.448722432,21.001201664,20.284536832,20.955294208,20.947260928,21.04246784
streamingllm,16k,Qwen3-8B,n_local_4092_n_init_4,23.416596992,23.37446144,23.7599488,23.453717504,22.736936448,23.133833216,22.830868992,23.003728896,22.9452544
streamingllm,16k,Qwen3-8B,n_local_2044_n_init_4,22.206136832,22.184270848,22.551825408,22.237203456,21.542485504,21.926290944,21.621887488,21.795769344,21.73739008
streamingllm,16k,Yarn-Qwen3-8B,n_local_4092_n_init_4,23.416596992,23.37446144,23.7599488,23.453717504,22.736936448,23.133833216,22.830868992,23.003728896,22.9452544
streamingllm,16k,Yarn-Qwen3-8B,n_local_2044_n_init_4,22.206132736,22.18577408,22.551825408,22.237203456,21.542485504,21.926290944,21.621887488,21.795769344,21.73739008
streamingllm,32k,DeepSeek-R1-Distill-Qwen-7B,n_local_4092_n_init_4,24.151773696,24.381932544,24.799862272,24.363387392,28.695628288,23.694847488,23.532361728,23.548802048,23.439292416
streamingllm,32k,DeepSeek-R1-Distill-Qwen-7B,n_local_2044_n_init_4,23.333179904,23.55907584,23.983643136,23.54228992,28.695628288,22.8737408,22.689828864,22.717586944,22.6223616
streamingllm,32k,Qwen3-8B-thinking,n_local_4092_n_init_4,27.942381056,28.233992192,28.737232384,28.222617088,21.215246848,27.367760384,27.116401664,27.113905664,26.990298112
streamingllm,32k,Qwen3-8B-thinking,n_local_2044_n_init_4,26.733465088,27.026176,27.53282816,27.010990592,21.215246848,26.159800832,25.907198976,25.905946112,25.7834752
streamingllm,32k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,24.150601216,24.138300416,24.27275776,24.141448704,23.46427392,23.694623232,23.53491968,23.548616192,23.442287616
streamingllm,32k,Qwen2.5-7B-Instruct,n_local_3968_n_init_128,24.150601216,24.137428992,24.27275776,24.141448704,,23.694623232,,,
streamingllm,32k,Qwen2.5-7B-Instruct,n_local_2044_n_init_4,23.332023808,23.5593216,23.982910976,23.541093888,28.6951552,22.874434048,22.69174272,22.71692032,22.622308352
streamingllm,32k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,26.551642624,26.879729152,27.097839104,26.799439872,26.288090112,24.447314944,26.121719808,25.727507968,25.920074752
streamingllm,32k,Llama-3.1-8B-Instruct,n_local_3968_n_init_128,26.551642624,26.879729152,27.097839104,26.799439872,,24.447314944,,,
streamingllm,32k,Llama-3.1-8B-Instruct,n_local_2044_n_init_4,25.475922432,25.80420864,26.02409728,25.727146496,33.673804288,23.372786688,25.04820736,24.66296576,24.843392
streamingllm,32k,Yarn-Qwen3-8B-thinking,n_local_4092_n_init_4,27.942381056,28.232804352,28.737232384,28.222617088,36.161867264,27.367760384,27.116401664,27.113905664,26.990298112
streamingllm,32k,Yarn-Qwen3-8B-thinking,n_local_2044_n_init_4,26.733465088,27.026176,27.53282816,27.010990592,36.161867264,26.159800832,25.907198976,25.905946112,25.7834752
streamingllm,32k,Qwen3-8B-nothinking,n_local_4092_n_init_4,27.942381056,28.233992192,28.737232384,28.222617088,21.215246848,27.367760384,27.116401664,27.113905664,26.990298112
streamingllm,32k,Qwen3-8B-nothinking,n_local_2044_n_init_4,26.733465088,27.026176,27.53282816,27.010990592,21.215246848,26.159800832,25.907198976,25.905946112,25.7834752
streamingllm,32k,Yarn-Qwen3-8B-nothinking,n_local_4092_n_init_4,27.942381056,28.232804352,28.737232384,28.222617088,36.161867264,27.367760384,27.116401664,27.113905664,26.990298112
streamingllm,32k,Yarn-Qwen3-8B-nothinking,n_local_2044_n_init_4,26.733465088,27.026176,27.53282816,27.010990592,36.161867264,26.159800832,25.907198976,25.905946112,25.7834752
streamingllm,32k,DeepSeek-R1-Distill-Llama-8B,n_local_4092_n_init_4,26.551642624,26.87436544,27.097839104,26.799439872,33.673804288,24.446528512,26.112617472,25.727507968,25.920074752
streamingllm,32k,DeepSeek-R1-Distill-Llama-8B,n_local_2044_n_init_4,25.475848704,25.796299264,26.02409728,25.727041536,33.673804288,23.372786688,25.037667328,24.66296576,24.843392
streamingllm,32k,Qwen3-8B,n_local_4092_n_init_4,27.942381056,28.233992192,28.737232384,28.222617088,21.215246848,27.367760384,27.116401664,27.113905664,26.990298112
streamingllm,32k,Qwen3-8B,n_local_2044_n_init_4,26.733465088,27.026176,27.53282816,27.010990592,21.215246848,26.159800832,25.907198976,25.905946112,25.7834752
streamingllm,32k,Yarn-Qwen3-8B,n_local_4092_n_init_4,27.942381056,28.232804352,28.737232384,28.222617088,36.161867264,27.367760384,27.116401664,27.113905664,26.990298112
streamingllm,32k,Yarn-Qwen3-8B,n_local_2044_n_init_4,26.733465088,27.026176,27.53282816,27.010990592,36.161867264,26.159800832,25.907198976,25.905946112,25.7834752
pyramidkv,16k,DeepSeek-R1-Distill-Qwen-7B,w2048_c8192_k7_avgpool,29.766198784,29.66976256,30.561965056,29.840317952,28.10030336,29.085685248,28.335431168,,
pyramidkv,16k,DeepSeek-R1-Distill-Qwen-7B,w256_c2048_k7_avgpool,19.736836608,19.702952448,20.024840192,19.753216512,19.199412736,19.516599808,19.268870656,,
pyramidkv,16k,Qwen2.5-7B-Instruct,w2048_c8192_k7_avgpool,29.764141568,29.673340416,30.5595776,29.840465408,28.09990144,29.085165568,28.342908416,28.653780992,28.505239552
pyramidkv,16k,Qwen2.5-7B-Instruct,w32_c2048_k5_avgpool,19.685535232,19.659615232,19.754948608,19.69148672,19.22168064,19.519657984,,,
pyramidkv,16k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,20.510682624,20.481772544,20.577074176,20.512176128,,20.335942656,,,
pyramidkv,16k,Qwen2.5-7B-Instruct,w32_c64_k5_avgpool,18.882052608,18.854720512,18.946193408,18.880403968,18.397487616,18.713143296,,,
pyramidkv,16k,Qwen2.5-7B-Instruct,w256_c2048_k7_avgpool,19.7374336,19.7012352,20.0231168,19.752392192,19.19899904,19.519271424,19.27294464,19.428836864,19.38102272
pyramidkv,16k,Llama-3.1-8B-Instruct,w2048_c8192_k7_avgpool,33.265580032,33.55108608,33.406525952,33.582473216,32.199548928,29.917617152,32.110539264,31.864580096,32.16640512
pyramidkv,16k,Llama-3.1-8B-Instruct,w32_c2048_k5_avgpool,21.370028032,21.441692672,21.439990272,21.462031872,21.014047744,20.299042816,,,
pyramidkv,16k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,22.424082944,22.50891264,22.49696256,22.52561152,,21.361498112,,,
pyramidkv,16k,Llama-3.1-8B-Instruct,w32_c64_k5_avgpool,20.304238592,20.391578112,20.376820224,20.408910848,19.964895744,19.24644096,,,
pyramidkv,16k,Llama-3.1-8B-Instruct,w256_c2048_k7_avgpool,21.377124352,21.451045888,21.441164288,21.468022272,21.021007872,20.296787968,21.028737536,20.95966976,21.056299008
pyramidkv,16k,Qwen3-8B-nothinking,w2048_c8192_k7_avgpool,,,,,,,33.634345472,,
pyramidkv,16k,Qwen3-8B-nothinking,w256_c2048_k7_avgpool,,,,,,,21.806831104,,
pyramidkv,16k,Yarn-Qwen3-8B-nothinking,w2048_c8192_k7_avgpool,,,,,,,33.63622144,,
pyramidkv,16k,Yarn-Qwen3-8B-nothinking,w256_c2048_k7_avgpool,,,,,,,21.810929664,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c8192_k5_avgpool,,24.642625024,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c8192_k5_avgpool,,24.64432896,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w2048_c4096_k5_avgpool,,31.387485696,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w256_c512_k5_avgpool,,20.624975872,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w32_c8192_k5_avgpool,,24.64432896,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c1024_k7_avgpool,,,,,,,,20.421328384,20.521492992
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c256_k5_avgpool,,20.48816128,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c1024_k5_avgpool,,20.89755392,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c4096_k5_avgpool,,22.502368256,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w32_c512_k5_avgpool,,20.622702592,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w1024_c4096_k5_avgpool,,26.308767232,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w256_c512_k7_avgpool,,,,,,,,20.148465152,20.24569344
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w512_c2048_k5_avgpool,,22.695177728,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c512_k5_avgpool,,20.620285952,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w512_c8192_k5_avgpool,,25.908833792,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c2048_k7_avgpool,,,,,,,,20.958099968,21.05132544
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w1024_c8192_k5_avgpool,,28.456674816,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w256_c4096_k5_avgpool,,22.505098752,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w32_c256_k5_avgpool,,20.492197376,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w1024_c2048_k5_avgpool,,25.233735168,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c512_k5_avgpool,,20.625358848,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c1024_k7_avgpool,,,,,,,,20.422039552,20.52274688
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w2048_c8192_k7_avgpool,33.26229504,33.524817408,33.406547456,33.582147584,32.1988096,29.917617152,,31.864580096,32.16640512
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w128_c1024_k5_avgpool,,20.896085504,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c512_k7_avgpool,,,,,,,,20.148509184,20.246877184
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w512_c4096_k5_avgpool,,23.775663616,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w256_c1024_k7_avgpool,,,,,,,,20.413886976,20.511355904
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w256_c1024_k5_avgpool,,20.895213056,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w32_c1024_k5_avgpool,,20.895621632,,,,,,,
pyramidkv,16k,DeepSeek-R1-Distill-Llama-8B,w64_c2048_k7_avgpool,,,,,,,,20.957082112,21.05322496
