technique,context_length,model,cache_size,rerank,cite,rag_nq,rag_hotpotqa,niah,recall_jsonkv,summ_multilex,icl_clinic,icl_banking
streamingllm,16k,DeepSeek-R1-Distill-Qwen-7B,n_local_4092_n_init_4,11.639641636721443,16.649274168874985,14.15067668213279,15.053195915772424,10.949584221869557,11.712903892707331,,,
streamingllm,16k,DeepSeek-R1-Distill-Qwen-7B,n_local_2044_n_init_4,16.335304793160915,19.543798401938247,16.57468496236329,15.839850072483072,11.485682715038173,12.802338247375172,21.72960900589054,4.719339337823883,4.0351019288123435
streamingllm,16k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,15.72817498784984,18.927613743659283,17.622300587885324,16.295689850097922,12.428509145926196,12.642280864176787,19.160883535855746,4.3466582934360485,3.7214651348675556
streamingllm,16k,Qwen2.5-7B-Instruct,n_local_3968_n_init_128,16.251729598602953,18.82989542130531,16.685993734245535,14.47047461268498,,12.582751562044706,,,
streamingllm,16k,Qwen2.5-7B-Instruct,n_local_2044_n_init_4,17.02211633949063,19.594613172755206,18.18122577982569,16.972052719378006,11.858759630002416,13.081804578935389,21.116489687250215,4.749408612765215,4.100628061735329
streamingllm,16k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,15.357827885967117,17.927134176395743,17.23144771343145,16.340885502281406,11.593519994991212,12.05453660754775,18.462062380180893,5.524420245177878,3.709002378516324
streamingllm,16k,Llama-3.1-8B-Instruct,n_local_3968_n_init_128,14.593735425472826,18.63329146108273,17.2926195155655,15.680833951519045,,12.047544673572466,,,
streamingllm,16k,Llama-3.1-8B-Instruct,n_local_2044_n_init_4,17.008510854934528,18.1905602202538,18.440844025325088,17.01787648066677,11.390255675570415,14.639556124949035,19.89945345425211,5.994618635568447,4.104040190670016
streamingllm,16k,Qwen3-8B-nothinking,n_local_4092_n_init_4,,,,,,,19.012859759170627,,
streamingllm,16k,Qwen3-8B-nothinking,n_local_2044_n_init_4,,,,,,,20.2929861228146,,
streamingllm,16k,Yarn-Qwen3-8B-nothinking,n_local_4092_n_init_4,,,,,,,18.860557980857617,,
streamingllm,16k,Yarn-Qwen3-8B-nothinking,n_local_2044_n_init_4,,,,,,,20.199307901226803,,
streamingllm,16k,DeepSeek-R1-Distill-Llama-8B,n_local_4092_n_init_4,14.804466009131087,18.76539427044073,15.242504123290967,12.435926667871767,6.790701602152423,11.93145776135589,,5.471345398146435,3.6766835672980096
streamingllm,16k,DeepSeek-R1-Distill-Llama-8B,n_local_2044_n_init_4,16.667382061819744,20.1943472052106,17.950228284743936,16.67218800312014,7.31867295838253,14.56341915497629,22.464924007877542,5.989532016212742,4.099605135906524
streamingllm,16k,Qwen3-8B,n_local_4092_n_init_4,14.564530455967613,16.863431922364082,15.292257975806033,14.373963637085895,9.83060029233683,9.444803126990118,18.917943305241096,3.942129598157004,3.3886008866738364
streamingllm,16k,Qwen3-8B,n_local_2044_n_init_4,15.793829499061104,18.00632958034038,16.663678987198765,15.803991416993334,10.179476589183052,11.309013396606199,20.605278836277314,4.39174183971872,3.783536561811071
streamingllm,16k,Yarn-Qwen3-8B,n_local_4092_n_init_4,14.301899743953,17.303713497392017,15.558897197923457,14.249374712764363,9.915322845414751,10.058410037345416,18.72342603445808,3.9301848041962497,3.373247579243056
streamingllm,16k,Yarn-Qwen3-8B,n_local_2044_n_init_4,15.969037313345845,18.464131836610022,16.9961512512791,15.745996357820479,10.75484252901992,11.467541425014991,20.09643302328817,4.399289898567735,3.7949933680683845
streamingllm,32k,DeepSeek-R1-Distill-Qwen-7B,n_local_4092_n_init_4,12.035364613587435,14.50143939040099,11.43658349149877,10.839874574456454,10.987633174798601,7.808104427105165,16.959026323997215,2.4749097140190464,2.1721969785633104
streamingllm,32k,DeepSeek-R1-Distill-Qwen-7B,n_local_2044_n_init_4,13.2193162049541,16.532175892930812,12.470645806576822,11.86954924660799,10.814206667143065,8.989750773334466,18.403985411546508,2.8291438258128885,1.2224329253746793
