technique,context_length,model,cache_size,travel_planning,html_to_tsv,pseudo_to_code
streamingllm,8k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,0.0,1.1870758547982838,
streamingllm,8k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,0.0,0.0,
streamingllm,5k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,,28.61808012368906,64.0
streamingllm,5k,Qwen2.5-7B-Instruct,n_local_3968_n_init_128,,29.083425789530594,64.0
streamingllm,5k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,,18.89884270374817,54.0
streamingllm,5k,Llama-3.1-8B-Instruct,n_local_3968_n_init_128,,30.76537296759103,54.0
streamingllm,2k,DeepSeek-R1-Distill-Qwen-7B,n_local_4092_n_init_4,0.0,0.20935960591133007,2.0
streamingllm,2k,Qwen2.5-7B-Instruct,n_local_4092_n_init_4,28.000000000000004,8.106697632968368,28.000000000000004
streamingllm,2k,Qwen2.5-7B-Instruct,n_local_3968_n_init_128,32.0,9.326121074440003,28.000000000000004
streamingllm,2k,Llama-3.1-8B-Instruct,n_local_4092_n_init_4,40.0,1.1969361241155705,32.0
streamingllm,2k,Llama-3.1-8B-Instruct,n_local_3968_n_init_128,32.0,5.296409161861817,32.0
streamingllm,2k,DeepSeek-R1-Distill-Llama-8B,n_local_4092_n_init_4,8.0,11.129612193185583,6.0
streamingllm,2k,Yarn-Qwen3-8B,n_local_4092_n_init_4,,0.0,0.0
pyramidkv,8k,Qwen2.5-7B-Instruct,w32_c2048_k5_avgpool,0.0,0.0,
pyramidkv,8k,Qwen2.5-7B-Instruct,w32_c64_k5_avgpool,0.0,0.0,
pyramidkv,8k,Llama-3.1-8B-Instruct,w32_c2048_k5_avgpool,0.0,0.0,
pyramidkv,8k,Llama-3.1-8B-Instruct,w32_c64_k5_avgpool,0.0,0.0,
pyramidkv,5k,Qwen2.5-7B-Instruct,w32_c2048_k5_avgpool,,3.804013946003934,64.0
pyramidkv,5k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,,16.17256187560663,64.0
pyramidkv,5k,Qwen2.5-7B-Instruct,w32_c64_k5_avgpool,,0.0,8.0
pyramidkv,5k,Llama-3.1-8B-Instruct,w32_c2048_k5_avgpool,,5.855784962052196,54.0
pyramidkv,5k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,,19.991159193414823,54.0
pyramidkv,5k,Llama-3.1-8B-Instruct,w32_c64_k5_avgpool,,0.0,12.0
pyramidkv,2k,DeepSeek-R1-Distill-Qwen-7B,w2048_c8192_k7_avgpool,,0.0,6.0
pyramidkv,2k,DeepSeek-R1-Distill-Qwen-7B,w256_c2048_k7_avgpool,0.0,0.0,6.0
pyramidkv,2k,Qwen2.5-7B-Instruct,w2048_c8192_k7_avgpool,38.0,6.813668217694911,26.0
pyramidkv,2k,Qwen2.5-7B-Instruct,w32_c2048_k5_avgpool,0.0,0.0,26.0
pyramidkv,2k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,28.000000000000004,0.2860462114366852,26.0
pyramidkv,2k,Qwen2.5-7B-Instruct,w32_c64_k5_avgpool,0.0,0.0,0.0
pyramidkv,2k,Qwen2.5-7B-Instruct,w256_c2048_k7_avgpool,0.0,0.02631578947368421,26.0
pyramidkv,2k,Llama-3.1-8B-Instruct,w2048_c8192_k7_avgpool,48.0,8.480314370402457,30.0
pyramidkv,2k,Llama-3.1-8B-Instruct,w32_c2048_k5_avgpool,6.0,0.0,30.0
pyramidkv,2k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,28.000000000000004,0.3568643752139768,30.0
pyramidkv,2k,Llama-3.1-8B-Instruct,w32_c64_k5_avgpool,0.0,0.0,0.0
pyramidkv,2k,Llama-3.1-8B-Instruct,w256_c2048_k7_avgpool,0.0,0.06557377049180328,30.0
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w128_c1024_k7_avgpool,8.0,,
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w256_c512_k7_avgpool,0.0,,
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w128_c2048_k7_avgpool,22.0,,
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w64_c1024_k7_avgpool,6.0,,
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w2048_c8192_k7_avgpool,32.0,7.899667362742964,4.0
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w64_c512_k7_avgpool,0.0,,
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w256_c1024_k7_avgpool,8.0,,
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w64_c2048_k7_avgpool,24.0,,
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w128_c512_k7_avgpool,0.0,,
pyramidkv,2k,DeepSeek-R1-Distill-Llama-8B,w256_c2048_k7_avgpool,10.0,0.17521040474787483,4.0
pyramidkv,2k,Yarn-Qwen3-8B,w256_c2048_k7_avgpool,0.0,0.0,0.0
baseline,8k,Qwen2.5-7B-Instruct,default,0.0,16.763434433720125,
INT4,8k,Qwen2.5-7B-Instruct,default,0.0,11.077975306823722,
INT8,8k,Qwen2.5-7B-Instruct,default,0.0,17.08162460229248,
baseline,8k,Llama-3.1-8B-Instruct,default,0.0,24.597996544904703,
INT4,8k,Llama-3.1-8B-Instruct,default,0.0,11.22425885208354,
INT8,8k,Llama-3.1-8B-Instruct,default,2.0,20.71101104994854,
baseline,5k,Qwen2.5-7B-Instruct,default,,55.21939326005035,64.0
