technique,context_length,model,recall_jsonkv,rag_nq,cite_str_em,cite_citation_rec,cite_citation_prec,rerank,rag_hotpotqa
streamingllm,16k,Qwen2.5-7B-Instruct,42.0,45.5,21.650000000000002,8.737817737817736,21.409632034632033,32.357821138211385,52.0
streamingllm,16k,Llama-3.1-8B-Instruct,44.0,60.16666666666667,19.1,1.352092352092352,5.041666666666666,7.109178861788617,57.666666666666664
streamingllm,32k,Qwen2.5-7B-Instruct,33.0,40.33333333333333,11.616666666666667,3.3492285492285485,14.246825396825397,20.382211382113823,46.0
streamingllm,32k,Llama-3.1-8B-Instruct,35.0,60.16666666666667,7.633333333333332,0.0,0.0,4.947292682926829,49.666666666666664
pyramidkv,16k,Qwen2.5-7B-Instruct,57.99999999999999,62.66666666666667,30.233333333333334,24.958333333333332,26.33910256410256,0.0,64.33333333333333
pyramidkv,16k,Llama-3.1-8B-Instruct,96.0,68.0,37.81666666666666,24.350108225108226,22.89678362573099,13.194373983739835,64.66666666666666
pyramidkv,32k,Qwen2.5-7B-Instruct,36.0,60.83333333333333,20.2,7.876190476190477,12.052380952380952,0.0,60.0
pyramidkv,32k,Llama-3.1-8B-Instruct,77.0,65.16666666666666,25.0,0.07692307692307693,0.16666666666666666,3.0894065040650407,62.66666666666667
baseline,16k,Qwen2.5-7B-Instruct,97.0,65.66666666666666,36.583333333333336,44.53095238095238,38.55715754833402,47.34121951219512,69.0
INT4,16k,Qwen2.5-7B-Instruct,95.0,62.33333333333333,35.3,50.40757575757575,39.913528138528136,46.41370731707317,69.66666666666667
INT8,16k,Qwen2.5-7B-Instruct,97.0,63.0,38.78333333333334,46.419444444444444,42.2023199023199,46.5089918699187,67.66666666666666
baseline,16k,Llama-3.1-8B-Instruct,99.0,66.0,45.66666666666667,42.82175602175602,36.265812501338814,51.72991869918698,68.33333333333333
INT4,16k,Llama-3.1-8B-Instruct,100.0,64.0,38.233333333333334,31.9759213009213,31.853787878787877,46.67643089430895,66.66666666666666
INT8,16k,Llama-3.1-8B-Instruct,100.0,65.66666666666666,44.266666666666666,34.4693722943723,30.4849611402243,50.17441463414634,68.0
baseline,32k,Qwen2.5-7B-Instruct,97.0,63.83333333333333,34.36666666666666,23.456623931623934,25.316286345233706,36.201878048780486,65.33333333333333
INT4,32k,Qwen2.5-7B-Instruct,93.0,59.833333333333336,27.48333333333333,23.993650793650794,25.561417748917748,34.598073170731716,67.0
INT8,32k,Qwen2.5-7B-Instruct,97.0,63.66666666666667,35.18333333333334,22.611061161061162,25.95682928182928,35.666178861788616,67.0
baseline,32k,Llama-3.1-8B-Instruct,100.0,63.5,25.983333333333334,5.321428571428571,5.292277167277167,42.15405691056911,63.33333333333333
INT4,32k,Llama-3.1-8B-Instruct,100.0,61.33333333333333,23.716666666666665,8.597641247641247,10.252596015096014,41.00208130081302,63.0
INT8,32k,Llama-3.1-8B-Instruct,100.0,62.16666666666667,24.883333333333333,4.993722943722943,5.695346320346321,40.016162601626014,65.33333333333333
minference,16k,Qwen2.5-7B-Instruct,96.0,53.166666666666664,36.71666666666667,40.400396825396825,33.06219336219336,47.168008130081304,60.333333333333336
minference,16k,Llama-3.1-8B-Instruct,99.0,64.33333333333333,42.88333333333334,41.18614996114996,32.91889661765823,52.40812195121951,66.66666666666666
minference,32k,Qwen2.5-7B-Instruct,98.0,62.16666666666667,27.766666666666666,10.319696969696968,15.93102453102453,31.25417073170732,65.66666666666666
minference,32k,Llama-3.1-8B-Instruct,100.0,61.83333333333333,30.85,10.180555555555555,9.602380952380953,42.57930894308943,63.33333333333333
streamingllm_original,16k,Qwen2.5-7B-Instruct,97.0,65.66666666666666,36.583333333333336,44.53095238095238,38.55715754833402,47.34121951219512,69.0
streamingllm_original,16k,Llama-3.1-8B-Instruct,99.0,66.0,45.66666666666667,42.82175602175602,36.265812501338814,51.72991869918698,68.33333333333333
streamingllm_original,32k,Qwen2.5-7B-Instruct,97.0,63.83333333333333,34.36666666666666,23.456623931623934,25.316286345233706,36.201878048780486,65.33333333333333
streamingllm_original,32k,Llama-3.1-8B-Instruct,100.0,63.5,25.983333333333334,5.321428571428571,5.292277167277167,42.15405691056911,63.33333333333333
quest,16k,Llama-3.1-8B-Instruct,99.0,61.33333333333333,,,,51.72991869918698,62.33333333333333
snapkv,16k,Qwen2.5-7B-Instruct,86.0,66.16666666666666,35.68333333333334,36.570707070707066,37.03186813186813,0.0,66.33333333333333
snapkv,16k,Llama-3.1-8B-Instruct,99.0,67.5,39.516666666666666,23.21868686868687,24.652777777777775,16.8300162601626,64.66666666666666
snapkv,32k,Qwen2.5-7B-Instruct,49.0,65.0,26.049999999999997,12.370367540955776,15.343055555555555,0.0,61.66666666666667
snapkv,32k,Llama-3.1-8B-Instruct,75.0,65.66666666666666,26.86666666666666,0.08333333333333333,0.09090909090909091,4.793276422764227,61.33333333333333
