technique,context_length,model,cache_size,html_to_tsv,pseudo_to_code,travel_planning
streamingllm,5k,Qwen2.5-7B-Instruct,n_local_3968_n_init_128,29.083425789530594,64.0,
streamingllm,5k,Llama-3.1-8B-Instruct,n_local_3968_n_init_128,30.76537296759103,54.0,
streamingllm,2k,Qwen2.5-7B-Instruct,n_local_3968_n_init_128,9.326121074440003,28.000000000000004,32.0
streamingllm,2k,Llama-3.1-8B-Instruct,n_local_3968_n_init_128,5.296409161861817,32.0,32.0
pyramidkv,5k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,16.17256187560663,64.0,
pyramidkv,5k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,19.991159193414823,54.0,
pyramidkv,2k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,0.2860462114366852,26.0,28.000000000000004
pyramidkv,2k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,0.3568643752139768,30.0,28.000000000000004
baseline,8k,Qwen2.5-7B-Instruct,default,16.763434433720125,,0.0
INT4,8k,Qwen2.5-7B-Instruct,default,11.077975306823722,,0.0
INT8,8k,Qwen2.5-7B-Instruct,default,17.08162460229248,,0.0
baseline,8k,Llama-3.1-8B-Instruct,default,24.597996544904703,,0.0
INT4,8k,Llama-3.1-8B-Instruct,default,11.22425885208354,,0.0
INT8,8k,Llama-3.1-8B-Instruct,default,20.71101104994854,,2.0
baseline,5k,Qwen2.5-7B-Instruct,default,55.21939326005035,64.0,
INT4,5k,Qwen2.5-7B-Instruct,default,51.172431081991554,57.99999999999999,
INT8,5k,Qwen2.5-7B-Instruct,default,58.66742301920828,60.0,
baseline,5k,Llama-3.1-8B-Instruct,default,50.19556031052744,54.0,
INT4,5k,Llama-3.1-8B-Instruct,default,23.68975965548232,64.0,
INT8,5k,Llama-3.1-8B-Instruct,default,46.3140560268626,52.0,
baseline,2k,Qwen2.5-7B-Instruct,default,33.68229585818331,26.0,40.0
INT4,2k,Qwen2.5-7B-Instruct,default,33.62718156565435,28.000000000000004,38.0
INT8,2k,Qwen2.5-7B-Instruct,default,37.22589459028905,30.0,30.0
baseline,2k,Llama-3.1-8B-Instruct,default,30.42169313980497,30.0,48.0
INT4,2k,Llama-3.1-8B-Instruct,default,15.458607692215784,34.0,32.0
INT8,2k,Llama-3.1-8B-Instruct,default,29.352317301544208,36.0,42.0
minference,8k,Qwen2.5-7B-Instruct,default,13.313584295966214,,0.0
minference,8k,Llama-3.1-8B-Instruct,default,19.032517668468753,,0.0
minference,5k,Qwen2.5-7B-Instruct,default,52.89492689851127,64.0,
minference,5k,Llama-3.1-8B-Instruct,default,46.985078004088734,54.0,
minference,2k,Qwen2.5-7B-Instruct,default,34.709050652822,28.000000000000004,34.0
minference,2k,Llama-3.1-8B-Instruct,default,23.391598377898276,30.0,36.0
streamingllm_original,8k,Qwen2.5-7B-Instruct,default,16.763434433720125,,0.0
streamingllm_original,8k,Llama-3.1-8B-Instruct,default,24.597996544904703,,0.0
streamingllm_original,5k,Qwen2.5-7B-Instruct,default,55.21939326005035,64.0,
streamingllm_original,5k,Llama-3.1-8B-Instruct,default,50.19556031052744,54.0,
streamingllm_original,2k,Qwen2.5-7B-Instruct,default,33.68229585818331,26.0,40.0
streamingllm_original,2k,Llama-3.1-8B-Instruct,default,30.42169313980497,30.0,48.0
snapkv,5k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,17.524830517992914,64.0,
snapkv,5k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,20.261446035927058,54.0,
snapkv,2k,Qwen2.5-7B-Instruct,w32_c4096_k5_avgpool,2.1860406011648923,26.0,28.000000000000004
snapkv,2k,Llama-3.1-8B-Instruct,w32_c4096_k5_avgpool,0.5967325774125182,30.0,28.000000000000004
