model,technique,cache_size,memory_gb,performance_score,helmet_memory_gb,helmet_performance,longproc_memory_gb,longproc_performance
DeepSeek-R1-Distill-Llama-8B,INT4,default,10.692,39.52,9.368,59.517,12.016,19.523
DeepSeek-R1-Distill-Llama-8B,INT8,default,15.315,38.296,13.678,59.758,16.953,16.833
DeepSeek-R1-Distill-Llama-8B,duoattn,sp0.5_pf32768,20.652,38.847,19.396,60.266,21.907,17.429
DeepSeek-R1-Distill-Llama-8B,baseline,default,21.048,38.045,19.724,59.767,22.372,16.323
DeepSeek-R1-Distill-Llama-8B,snapkv,w256_c2048_k7_maxpool,22.942,28.277,21.155,45.171,24.728,11.383
DeepSeek-R1-Distill-Llama-8B,pyramidkv,w256_c2048_k7_avgpool,23.228,24.529,21.71,44.332,24.746,4.725
DeepSeek-R1-Distill-Llama-8B,streamingllm,n_local_4092_n_init_4,23.964,22.836,22.252,39.882,25.677,5.791
DeepSeek-R1-Distill-Qwen-7B,INT4,default,9.867,10.841,8.773,17.682,10.961,4.0
DeepSeek-R1-Distill-Qwen-7B,INT8,default,15.694,9.393,14.406,15.731,16.981,3.056
DeepSeek-R1-Distill-Qwen-7B,baseline,default,19.542,10.997,18.449,17.994,20.634,4.0
DeepSeek-R1-Distill-Qwen-7B,snapkv,w256_c2048_k7_maxpool,21.004,11.638,19.619,17.277,22.389,6.0
DeepSeek-R1-Distill-Qwen-7B,pyramidkv,w256_c2048_k7_avgpool,21.011,11.063,19.623,16.127,22.4,6.0
DeepSeek-R1-Distill-Qwen-7B,streamingllm,n_local_4092_n_init_4,21.804,7.666,20.486,14.291,23.123,1.041
Llama-3.1-8B-Instruct,INT4,default,11.073,43.003,9.378,58.854,12.768,27.153
Llama-3.1-8B-Instruct,INT8,default,15.329,48.123,13.693,60.462,16.965,35.784
Llama-3.1-8B-Instruct,duoattn,sp0.5_pf32768,20.645,47.298,19.391,65.335,21.899,29.261
Llama-3.1-8B-Instruct,baseline,default,21.057,49.026,19.735,61.912,22.379,36.141
Llama-3.1-8B-Instruct,snapkv,w256_c2048_k7_maxpool,22.949,33.779,21.159,47.559,24.74,20.0
Llama-3.1-8B-Instruct,pyramidkv,w256_c2048_k7_avgpool,22.969,30.975,21.182,46.916,24.756,15.033
Llama-3.1-8B-Instruct,streamingllm,n_local_4092_n_init_4,23.962,30.874,22.233,37.348,25.691,24.399
Qwen2.5-7B-Instruct,INT4,default,10.201,47.025,8.705,60.841,11.696,33.209
Qwen2.5-7B-Instruct,INT8,default,15.638,46.777,14.243,61.145,17.032,32.409
Qwen2.5-7B-Instruct,baseline,default,19.508,47.035,18.382,60.843,20.634,33.227
Qwen2.5-7B-Instruct,snapkv,w256_c2048_k7_maxpool,20.987,30.328,19.582,47.641,22.392,13.016
Qwen2.5-7B-Instruct,pyramidkv,w256_c2048_k7_avgpool,20.993,27.684,19.583,42.354,22.403,13.013
Qwen2.5-7B-Instruct,streamingllm,n_local_4092_n_init_4,21.738,28.456,20.352,35.543,23.124,21.369
